Type	|V|   	|E|   	dmax   	davg   	r   	|T|   	Tavg   	Tmax   	κavg   	κ   	K   	ωheu   	Size	Download
bio	15K	246K	375	32	0.34	7M	442	14K	0.21	0.29	79	43	3 MB	    Download
bio	2K	54K	242	48	0.07	686K	308	3K	0.18	0.14	49	16	512 KB	    Download
bio	924	3K	151	7	-0.18	12K	12	684	0.61	0.13	10	8	30 KB	    Download
bio	3K	3K	44	2	-0.30	87	-	4	0.01	0.01	4	4	19 KB	    Download
bio	1K	2K	131	2	-0.17	699	-	31	0.08	0.04	7	7	10 KB	    Download
bio	2K	48K	913	51	-0.15	2M	1K	30K	0.42	0.32	81	28	500 KB	    Download
bio	4K	77K	362	37	0.29	2M	544	15K	0.27	0.31	72	32	785 KB	    Download
bio	3K	5K	37	3	-0.09	354	-	59	0.01	0.01	12	3	46 KB	    Download
bio	658	1K	50	3	-0.12	603	-	71	0.10	0.06	11	4	5 KB	    Download
bio	3K	85K	497	51	0.34	3M	936	17K	0.20	0.29	96	19	905 KB	    Download
bio	4K	109K	473	49	0.25	4M	913	20K	0.28	0.30	99	18	1 MB	    Download
bio	3K	14K	149	10	0.29	147K	57	2K	0.17	0.31	40	38	91 KB	    Download
bio	4K	39K	397	18	0.06	695K	164	7K	0.20	0.23	67	58	372 KB	    Download
bio	23	54	3	2.35	-0.03	-	-	-	-	-	2	3	300 B	    Download
bio	2K	35K	571	31	-0.15	596K	267	7K	0.41	0.19	69	10	330 KB	    Download
bio	2K	34K	549	39	0.06	1M	645	8K	0.35	0.35	61	39	332 KB	    Download
bio	2K	63K	472	60	0.13	4M	2K	28K	0.35	0.38	101	62	537 KB	    Download
bio	2K	20K	167	20	0.19	228K	113	3K	0.17	0.22	49	29	182 KB	    Download
bio	636	4K	66	12	0.92	153K	240	2K	0.47	0.91	67	67	26 KB	    Download
bio	2K	79K	347	64	0.31	6M	2K	18K	0.84	0.72	126	126	191 KB	    Download
